# (t) 	 (c tau) 	 (p(rD,t))
0 	 -0.2 	 0
6.66667e-09 	 -0.199 	 0
1.33333e-08 	 -0.198 	 0
2e-08 	 -0.197 	 0
2.66667e-08 	 -0.196 	 0
3.33333e-08 	 -0.195 	 0
4e-08 	 -0.194 	 0
4.66667e-08 	 -0.193 	 0
5.33333e-08 	 -0.192 	 0
6e-08 	 -0.191 	 0
6.66667e-08 	 -0.19 	 0
7.33333e-08 	 -0.189 	 0
8e-08 	 -0.188 	 0
8.66667e-08 	 -0.187 	 0
9.33333e-08 	 -0.186 	 0
1e-07 	 -0.185 	 0
1.06667e-07 	 -0.184 	 0
1.13333e-07 	 -0.183 	 0
1.2e-07 	 -0.182 	 0
1.26667e-07 	 -0.181 	 0
1.33333e-07 	 -0.18 	 0
1.4e-07 	 -0.179 	 0
1.46667e-07 	 -0.178 	 0
1.53333e-07 	 -0.177 	 0
1.6e-07 	 -0.176 	 0
1.66667e-07 	 -0.175 	 0
1.73333e-07 	 -0.174 	 0
1.8e-07 	 -0.173 	 0
1.86667e-07 	 -0.172 	 0
1.93333e-07 	 -0.171 	 0
2e-07 	 -0.17 	 0
2.06667e-07 	 -0.169 	 0
2.13333e-07 	 -0.168 	 0
2.2e-07 	 -0.167 	 0
2.26667e-07 	 -0.166 	 0
2.33333e-07 	 -0.165 	 0
2.4e-07 	 -0.164 	 0
2.46667e-07 	 -0.163 	 0
2.53333e-07 	 -0.162 	 0
2.6e-07 	 -0.161 	 0
2.66667e-07 	 -0.16 	 0
2.73333e-07 	 -0.159 	 0
2.8e-07 	 -0.158 	 0
2.86667e-07 	 -0.157 	 0
2.93333e-07 	 -0.156 	 0
3e-07 	 -0.155 	 0
3.06667e-07 	 -0.154 	 0
3.13333e-07 	 -0.153 	 0
3.2e-07 	 -0.152 	 0
3.26667e-07 	 -0.151 	 0
3.33333e-07 	 -0.15 	 0
3.4e-07 	 -0.149 	 0
3.46667e-07 	 -0.148 	 0
3.53333e-07 	 -0.147 	 0
3.6e-07 	 -0.146 	 0
3.66667e-07 	 -0.145 	 0
3.73333e-07 	 -0.144 	 0
3.8e-07 	 -0.143 	 0
3.86667e-07 	 -0.142 	 0
3.93333e-07 	 -0.141 	 0
4e-07 	 -0.14 	 0
4.06667e-07 	 -0.139 	 0
4.13333e-07 	 -0.138 	 0
4.2e-07 	 -0.137 	 0
4.26667e-07 	 -0.136 	 0
4.33333e-07 	 -0.135 	 0
4.4e-07 	 -0.134 	 0
4.46667e-07 	 -0.133 	 0
4.53333e-07 	 -0.132 	 0
4.6e-07 	 -0.131 	 0
4.66667e-07 	 -0.13 	 0
4.73333e-07 	 -0.129 	 0
4.8e-07 	 -0.128 	 0
4.86667e-07 	 -0.127 	 0
4.93333e-07 	 -0.126 	 0
5e-07 	 -0.125 	 0
5.06667e-07 	 -0.124 	 0
5.13333e-07 	 -0.123 	 0
5.2e-07 	 -0.122 	 0
5.26667e-07 	 -0.121 	 0
5.33333e-07 	 -0.12 	 0
5.4e-07 	 -0.119 	 0
5.46667e-07 	 -0.118 	 0
5.53333e-07 	 -0.117 	 0
5.6e-07 	 -0.116 	 0
5.66667e-07 	 -0.115 	 0
5.73333e-07 	 -0.114 	 0
5.8e-07 	 -0.113 	 0
5.86667e-07 	 -0.112 	 0
5.93333e-07 	 -0.111 	 0
6e-07 	 -0.11 	 0
6.06667e-07 	 -0.109 	 0
6.13333e-07 	 -0.108 	 0
6.2e-07 	 -0.107 	 0
6.26667e-07 	 -0.106 	 0
6.33333e-07 	 -0.105 	 0
6.4e-07 	 -0.104 	 0
6.46667e-07 	 -0.103 	 0
6.53333e-07 	 -0.102 	 0
6.6e-07 	 -0.101 	 0
6.66667e-07 	 -0.1 	 0
6.73333e-07 	 -0.099 	 0
6.8e-07 	 -0.098 	 0
6.86667e-07 	 -0.097 	 0
6.93333e-07 	 -0.096 	 0
7e-07 	 -0.095 	 0
7.06667e-07 	 -0.094 	 0
7.13333e-07 	 -0.093 	 0
7.2e-07 	 -0.092 	 0
7.26667e-07 	 -0.091 	 0
7.33333e-07 	 -0.09 	 0
7.4e-07 	 -0.089 	 0
7.46667e-07 	 -0.088 	 0
7.53333e-07 	 -0.087 	 0
7.6e-07 	 -0.086 	 0
7.66667e-07 	 -0.085 	 0
7.73333e-07 	 -0.084 	 0
7.8e-07 	 -0.083 	 0
7.86667e-07 	 -0.082 	 0
7.93333e-07 	 -0.081 	 0
8e-07 	 -0.08 	 0
8.06667e-07 	 -0.079 	 0
8.13333e-07 	 -0.078 	 0
8.2e-07 	 -0.077 	 0
8.26667e-07 	 -0.076 	 0
8.33333e-07 	 -0.075 	 0
8.4e-07 	 -0.074 	 0
8.46667e-07 	 -0.073 	 0
8.53333e-07 	 -0.072 	 0
8.6e-07 	 -0.071 	 0
8.66667e-07 	 -0.07 	 0
8.73333e-07 	 -0.069 	 0
8.8e-07 	 -0.068 	 0
8.86667e-07 	 -0.067 	 0
8.93333e-07 	 -0.066 	 0
9e-07 	 -0.065 	 0
9.06667e-07 	 -0.064 	 0
9.13333e-07 	 -0.063 	 0
9.2e-07 	 -0.062 	 0
9.26667e-07 	 -0.061 	 0
9.33333e-07 	 -0.06 	 0
9.4e-07 	 -0.059 	 0
9.46667e-07 	 -0.058 	 0
9.53333e-07 	 -0.057 	 0
9.6e-07 	 -0.056 	 0
9.66667e-07 	 -0.055 	 0
9.73333e-07 	 -0.054 	 0
9.8e-07 	 -0.053 	 0
9.86667e-07 	 -0.052 	 0
9.93333e-07 	 -0.051 	 0
1e-06 	 -0.05 	 0
1.00667e-06 	 -0.049 	 0
1.01333e-06 	 -0.048 	 0
1.02e-06 	 -0.047 	 0
1.02667e-06 	 -0.046 	 0
1.03333e-06 	 -0.045 	 0
1.04e-06 	 -0.044 	 0
1.04667e-06 	 -0.043 	 0
1.05333e-06 	 -0.042 	 0
1.06e-06 	 -0.041 	 0
1.06667e-06 	 -0.04 	 0
1.07333e-06 	 -0.039 	 0
1.08e-06 	 -0.038 	 0
1.08667e-06 	 -0.037 	 0
1.09333e-06 	 -0.036 	 0
1.1e-06 	 -0.035 	 0
1.10667e-06 	 -0.034 	 0
1.11333e-06 	 -0.033 	 0
1.12e-06 	 -0.032 	 0
1.12667e-06 	 -0.031 	 0
1.13333e-06 	 -0.03 	 0
1.14e-06 	 -0.029 	 0
1.14667e-06 	 -0.028 	 0
1.15333e-06 	 -0.027 	 0
1.16e-06 	 -0.026 	 0
1.16667e-06 	 -0.025 	 0
1.17333e-06 	 -0.024 	 0
1.18e-06 	 -0.023 	 0
1.18667e-06 	 -0.022 	 0
1.19333e-06 	 -0.021 	 0
1.2e-06 	 -0.02 	 0
1.20667e-06 	 -0.019 	 0
1.21333e-06 	 -0.018 	 0
1.22e-06 	 -0.017 	 0
1.22667e-06 	 -0.016 	 0
1.23333e-06 	 -0.015 	 0
1.24e-06 	 -0.014 	 0
1.24667e-06 	 -0.013 	 0
1.25333e-06 	 -0.012 	 0
1.26e-06 	 -0.011 	 0
1.26667e-06 	 -0.01 	 0
1.27333e-06 	 -0.009 	 0
1.28e-06 	 -0.008 	 0
1.28667e-06 	 -0.007 	 0
1.29333e-06 	 -0.006 	 0
1.3e-06 	 -0.005 	 0
1.30667e-06 	 -0.004 	 0
1.31333e-06 	 -0.003 	 0.00151686
1.32e-06 	 -0.002 	 0.00489756
1.32667e-06 	 -0.001 	 0.0088782
1.33333e-06 	 0 	 0.0133158
1.34e-06 	 0.001 	 0.0165849
1.34667e-06 	 0.002 	 0.018288
1.35333e-06 	 0.003 	 0.0194977
1.36e-06 	 0.004 	 0.0202437
1.36667e-06 	 0.005 	 0.0207416
1.37333e-06 	 0.006 	 0.0210033
1.38e-06 	 0.007 	 0.0210219
1.38667e-06 	 0.008 	 0.0210784
1.39333e-06 	 0.009 	 0.0210267
1.4e-06 	 0.01 	 0.0208822
1.40667e-06 	 0.011 	 0.0207608
1.41333e-06 	 0.012 	 0.020522
1.42e-06 	 0.013 	 0.020353
1.42667e-06 	 0.014 	 0.020112
1.43333e-06 	 0.015 	 0.0199411
1.44e-06 	 0.016 	 0.0198899
1.44667e-06 	 0.017 	 0.0196277
1.45333e-06 	 0.018 	 0.0194252
1.46e-06 	 0.019 	 0.019172
1.46667e-06 	 0.02 	 0.0186924
1.47333e-06 	 0.021 	 0.0185723
1.48e-06 	 0.022 	 0.0185088
1.48667e-06 	 0.023 	 0.0182316
1.49333e-06 	 0.024 	 0.0181193
1.5e-06 	 0.025 	 0.0176753
1.50667e-06 	 0.026 	 0.0173494
1.51333e-06 	 0.027 	 0.0173051
1.52e-06 	 0.028 	 0.0171855
1.52667e-06 	 0.029 	 0.0168132
1.53333e-06 	 0.03 	 0.016515
1.54e-06 	 0.031 	 0.0163532
1.54667e-06 	 0.032 	 0.01586
1.55333e-06 	 0.033 	 0.0160258
1.56e-06 	 0.034 	 0.0157223
1.56667e-06 	 0.035 	 0.0152184
1.57333e-06 	 0.036 	 0.0151613
1.58e-06 	 0.037 	 0.014689
1.58667e-06 	 0.038 	 0.0148429
1.59333e-06 	 0.039 	 0.0148664
1.6e-06 	 0.04 	 0.0143722
1.60667e-06 	 0.041 	 0.0142566
1.61333e-06 	 0.042 	 0.0136497
1.62e-06 	 0.043 	 0.0134779
1.62667e-06 	 0.044 	 0.0136779
1.63333e-06 	 0.045 	 0.0131649
1.64e-06 	 0.046 	 0.0126566
1.64667e-06 	 0.047 	 0.0135596
1.65333e-06 	 0.048 	 0.0154669
1.66e-06 	 0.049 	 0.0177212
1.66667e-06 	 0.05 	 0.0208973
1.67333e-06 	 0.051 	 0.0222505
1.68e-06 	 0.052 	 0.0227005
1.68667e-06 	 0.053 	 0.0231083
1.69333e-06 	 0.054 	 0.0224369
1.7e-06 	 0.055 	 0.0225087
1.70667e-06 	 0.056 	 0.0223798
1.71333e-06 	 0.057 	 0.0218367
1.72e-06 	 0.058 	 0.021561
1.72667e-06 	 0.059 	 0.0207419
1.73333e-06 	 0.06 	 0.0201893
1.74e-06 	 0.061 	 0.019724
1.74667e-06 	 0.062 	 0.0193471
1.75333e-06 	 0.063 	 0.018707
1.76e-06 	 0.064 	 0.0181592
1.76667e-06 	 0.065 	 0.017876
1.77333e-06 	 0.066 	 0.0173584
1.78e-06 	 0.067 	 0.0171889
1.78667e-06 	 0.068 	 0.0165946
1.79333e-06 	 0.069 	 0.0158003
1.8e-06 	 0.07 	 0.0151865
1.80667e-06 	 0.071 	 0.015075
1.81333e-06 	 0.072 	 0.0142702
1.82e-06 	 0.073 	 0.0138572
1.82667e-06 	 0.074 	 0.0139933
1.83333e-06 	 0.075 	 0.0131306
1.84e-06 	 0.076 	 0.0128662
1.84667e-06 	 0.077 	 0.0126874
1.85333e-06 	 0.078 	 0.0119959
1.86e-06 	 0.079 	 0.0115443
1.86667e-06 	 0.08 	 0.0110367
1.87333e-06 	 0.081 	 0.010735
1.88e-06 	 0.082 	 0.0105127
1.88667e-06 	 0.083 	 0.00982217
1.89333e-06 	 0.084 	 0.00958213
1.9e-06 	 0.085 	 0.00944958
1.90667e-06 	 0.086 	 0.00909205
1.91333e-06 	 0.087 	 0.00864244
1.92e-06 	 0.088 	 0.00831767
1.92667e-06 	 0.089 	 0.0079844
1.93333e-06 	 0.09 	 0.00736994
1.94e-06 	 0.091 	 0.00716249
1.94667e-06 	 0.092 	 0.00724123
1.95333e-06 	 0.093 	 0.0072089
1.96e-06 	 0.094 	 0.00611794
1.96667e-06 	 0.095 	 0.00564929
1.97333e-06 	 0.096 	 0.00599014
1.98e-06 	 0.097 	 0.00450286
1.98667e-06 	 0.098 	 0.00268142
1.99333e-06 	 0.099 	 0.00108691
2e-06 	 0.1 	 -0.0017953
2.00667e-06 	 0.101 	 -0.00400816
2.01333e-06 	 0.102 	 -0.0041836
2.02e-06 	 0.103 	 -0.00513745
2.02667e-06 	 0.104 	 -0.00531904
2.03333e-06 	 0.105 	 -0.00494494
2.04e-06 	 0.106 	 -0.00584749
2.04667e-06 	 0.107 	 -0.00573884
2.05333e-06 	 0.108 	 -0.00639923
2.06e-06 	 0.109 	 -0.00703563
2.06667e-06 	 0.11 	 -0.00602059
2.07333e-06 	 0.111 	 -0.00595955
2.08e-06 	 0.112 	 -0.00607637
2.08667e-06 	 0.113 	 -0.00579139
2.09333e-06 	 0.114 	 -0.00617112
2.1e-06 	 0.115 	 -0.00652226
2.10667e-06 	 0.116 	 -0.00666862
2.11333e-06 	 0.117 	 -0.00628718
2.12e-06 	 0.118 	 -0.00621308
2.12667e-06 	 0.119 	 -0.00643208
2.13333e-06 	 0.12 	 -0.00627838
2.14e-06 	 0.121 	 -0.00676225
2.14667e-06 	 0.122 	 -0.00634587
2.15333e-06 	 0.123 	 -0.00584993
2.16e-06 	 0.124 	 -0.00639537
2.16667e-06 	 0.125 	 -0.00636397
2.17333e-06 	 0.126 	 -0.0065867
2.18e-06 	 0.127 	 -0.00687514
2.18667e-06 	 0.128 	 -0.00663884
2.19333e-06 	 0.129 	 -0.00655089
2.2e-06 	 0.13 	 -0.00686104
2.20667e-06 	 0.131 	 -0.00646497
2.21333e-06 	 0.132 	 -0.00653634
2.22e-06 	 0.133 	 -0.00657702
2.22667e-06 	 0.134 	 -0.00626303
2.23333e-06 	 0.135 	 -0.00654026
2.24e-06 	 0.136 	 -0.00633251
2.24667e-06 	 0.137 	 -0.00684335
2.25333e-06 	 0.138 	 -0.00693498
2.26e-06 	 0.139 	 -0.00665083
2.26667e-06 	 0.14 	 -0.00693001
2.27333e-06 	 0.141 	 -0.00644122
2.28e-06 	 0.142 	 -0.00656463
2.28667e-06 	 0.143 	 -0.00691086
2.29333e-06 	 0.144 	 -0.00674448
2.3e-06 	 0.145 	 -0.00659958
2.30667e-06 	 0.146 	 -0.00643058
2.31333e-06 	 0.147 	 -0.0073687
2.32e-06 	 0.148 	 -0.00672505
2.32667e-06 	 0.149 	 -0.00647453
2.33333e-06 	 0.15 	 -0.00719428
2.34e-06 	 0.151 	 -0.00629217
2.34667e-06 	 0.152 	 -0.00694682
2.35333e-06 	 0.153 	 -0.00722976
2.36e-06 	 0.154 	 -0.00708802
2.36667e-06 	 0.155 	 -0.00709808
2.37333e-06 	 0.156 	 -0.00652758
2.38e-06 	 0.157 	 -0.0077845
2.38667e-06 	 0.158 	 -0.0110825
2.39333e-06 	 0.159 	 -0.0164823
2.4e-06 	 0.16 	 -0.0222086
2.40667e-06 	 0.161 	 -0.0266769
2.41333e-06 	 0.162 	 -0.0282603
2.42e-06 	 0.163 	 -0.0274161
2.42667e-06 	 0.164 	 -0.0268512
2.43333e-06 	 0.165 	 -0.0262316
2.44e-06 	 0.166 	 -0.0255525
2.44667e-06 	 0.167 	 -0.0248651
2.45333e-06 	 0.168 	 -0.0243909
2.46e-06 	 0.169 	 -0.0241173
2.46667e-06 	 0.17 	 -0.0233929
2.47333e-06 	 0.171 	 -0.0230568
2.48e-06 	 0.172 	 -0.0226673
2.48667e-06 	 0.173 	 -0.0219679
2.49333e-06 	 0.174 	 -0.0215279
2.5e-06 	 0.175 	 -0.021104
2.50667e-06 	 0.176 	 -0.0207572
2.51333e-06 	 0.177 	 -0.019919
2.52e-06 	 0.178 	 -0.0199631
2.52667e-06 	 0.179 	 -0.0196437
2.53333e-06 	 0.18 	 -0.0187247
2.54e-06 	 0.181 	 -0.0187101
2.54667e-06 	 0.182 	 -0.0180709
2.55333e-06 	 0.183 	 -0.0178083
2.56e-06 	 0.184 	 -0.0178742
2.56667e-06 	 0.185 	 -0.0174626
2.57333e-06 	 0.186 	 -0.016972
2.58e-06 	 0.187 	 -0.0167531
2.58667e-06 	 0.188 	 -0.0184015
2.59333e-06 	 0.189 	 -0.0206144
2.6e-06 	 0.19 	 -0.0231793
2.60667e-06 	 0.191 	 -0.0250993
2.61333e-06 	 0.192 	 -0.0248919
2.62e-06 	 0.193 	 -0.0243157
2.62667e-06 	 0.194 	 -0.0231825
2.63333e-06 	 0.195 	 -0.022696
2.64e-06 	 0.196 	 -0.0218086
2.64667e-06 	 0.197 	 -0.0206653
2.65333e-06 	 0.198 	 -0.0200286
2.66e-06 	 0.199 	 -0.0191422
2.66667e-06 	 0.2 	 -0.018756
2.67333e-06 	 0.201 	 -0.018049
2.68e-06 	 0.202 	 -0.0174797
2.68667e-06 	 0.203 	 -0.0168742
2.69333e-06 	 0.204 	 -0.0160743
2.7e-06 	 0.205 	 -0.015574
2.70667e-06 	 0.206 	 -0.0150727
2.71333e-06 	 0.207 	 -0.0146125
2.72e-06 	 0.208 	 -0.0139655
2.72667e-06 	 0.209 	 -0.0134196
2.73333e-06 	 0.21 	 -0.0129654
2.74e-06 	 0.211 	 -0.0124846
2.74667e-06 	 0.212 	 -0.0120121
2.75333e-06 	 0.213 	 -0.0117217
2.76e-06 	 0.214 	 -0.0112547
2.76667e-06 	 0.215 	 -0.0107096
2.77333e-06 	 0.216 	 -0.0104095
2.78e-06 	 0.217 	 -0.0100121
2.78667e-06 	 0.218 	 -0.00968869
2.79333e-06 	 0.219 	 -0.00924724
2.8e-06 	 0.22 	 -0.00896962
2.80667e-06 	 0.221 	 -0.00801039
2.81333e-06 	 0.222 	 -0.00602466
2.82e-06 	 0.223 	 -0.00395793
2.82667e-06 	 0.224 	 -0.00183577
2.83333e-06 	 0.225 	 -0.000377909
2.84e-06 	 0.226 	 0
2.84667e-06 	 0.227 	 0
2.85333e-06 	 0.228 	 0
2.86e-06 	 0.229 	 0
2.86667e-06 	 0.23 	 0
2.87333e-06 	 0.231 	 0
2.88e-06 	 0.232 	 0
2.88667e-06 	 0.233 	 0
2.89333e-06 	 0.234 	 0
2.9e-06 	 0.235 	 0
2.90667e-06 	 0.236 	 0
2.91333e-06 	 0.237 	 0
2.92e-06 	 0.238 	 0
2.92667e-06 	 0.239 	 0
2.93333e-06 	 0.24 	 0
2.94e-06 	 0.241 	 0
2.94667e-06 	 0.242 	 0
2.95333e-06 	 0.243 	 0
2.96e-06 	 0.244 	 0
2.96667e-06 	 0.245 	 0
2.97333e-06 	 0.246 	 0
2.98e-06 	 0.247 	 0
2.98667e-06 	 0.248 	 0
2.99333e-06 	 0.249 	 0
3e-06 	 0.25 	 0
