# (t) 	 (c tau) 	 (p(rD,t))
0 	 -0.2 	 0
6.66667e-09 	 -0.199 	 0
1.33333e-08 	 -0.198 	 0
2e-08 	 -0.197 	 0
2.66667e-08 	 -0.196 	 0
3.33333e-08 	 -0.195 	 0
4e-08 	 -0.194 	 0
4.66667e-08 	 -0.193 	 0
5.33333e-08 	 -0.192 	 0
6e-08 	 -0.191 	 0
6.66667e-08 	 -0.19 	 0
7.33333e-08 	 -0.189 	 0
8e-08 	 -0.188 	 0
8.66667e-08 	 -0.187 	 0
9.33333e-08 	 -0.186 	 0
1e-07 	 -0.185 	 0
1.06667e-07 	 -0.184 	 0
1.13333e-07 	 -0.183 	 0
1.2e-07 	 -0.182 	 0
1.26667e-07 	 -0.181 	 0
1.33333e-07 	 -0.18 	 0
1.4e-07 	 -0.179 	 0
1.46667e-07 	 -0.178 	 0
1.53333e-07 	 -0.177 	 0
1.6e-07 	 -0.176 	 0
1.66667e-07 	 -0.175 	 0
1.73333e-07 	 -0.174 	 0
1.8e-07 	 -0.173 	 0
1.86667e-07 	 -0.172 	 0
1.93333e-07 	 -0.171 	 0
2e-07 	 -0.17 	 0
2.06667e-07 	 -0.169 	 0
2.13333e-07 	 -0.168 	 0
2.2e-07 	 -0.167 	 0
2.26667e-07 	 -0.166 	 0
2.33333e-07 	 -0.165 	 0
2.4e-07 	 -0.164 	 0
2.46667e-07 	 -0.163 	 0
2.53333e-07 	 -0.162 	 0
2.6e-07 	 -0.161 	 0
2.66667e-07 	 -0.16 	 0
2.73333e-07 	 -0.159 	 0
2.8e-07 	 -0.158 	 0
2.86667e-07 	 -0.157 	 0
2.93333e-07 	 -0.156 	 0
3e-07 	 -0.155 	 0
3.06667e-07 	 -0.154 	 0
3.13333e-07 	 -0.153 	 0
3.2e-07 	 -0.152 	 0
3.26667e-07 	 -0.151 	 0
3.33333e-07 	 -0.15 	 0
3.4e-07 	 -0.149 	 0
3.46667e-07 	 -0.148 	 0
3.53333e-07 	 -0.147 	 0
3.6e-07 	 -0.146 	 0
3.66667e-07 	 -0.145 	 0
3.73333e-07 	 -0.144 	 0
3.8e-07 	 -0.143 	 0
3.86667e-07 	 -0.142 	 0
3.93333e-07 	 -0.141 	 0
4e-07 	 -0.14 	 0
4.06667e-07 	 -0.139 	 0
4.13333e-07 	 -0.138 	 0
4.2e-07 	 -0.137 	 0
4.26667e-07 	 -0.136 	 0
4.33333e-07 	 -0.135 	 0
4.4e-07 	 -0.134 	 0
4.46667e-07 	 -0.133 	 0
4.53333e-07 	 -0.132 	 0
4.6e-07 	 -0.131 	 0
4.66667e-07 	 -0.13 	 0
4.73333e-07 	 -0.129 	 0
4.8e-07 	 -0.128 	 0
4.86667e-07 	 -0.127 	 0
4.93333e-07 	 -0.126 	 0
5e-07 	 -0.125 	 0
5.06667e-07 	 -0.124 	 0
5.13333e-07 	 -0.123 	 0
5.2e-07 	 -0.122 	 0
5.26667e-07 	 -0.121 	 0
5.33333e-07 	 -0.12 	 0
5.4e-07 	 -0.119 	 0
5.46667e-07 	 -0.118 	 0
5.53333e-07 	 -0.117 	 0
5.6e-07 	 -0.116 	 0
5.66667e-07 	 -0.115 	 0
5.73333e-07 	 -0.114 	 0
5.8e-07 	 -0.113 	 0
5.86667e-07 	 -0.112 	 0
5.93333e-07 	 -0.111 	 0
6e-07 	 -0.11 	 0
6.06667e-07 	 -0.109 	 0
6.13333e-07 	 -0.108 	 0
6.2e-07 	 -0.107 	 0
6.26667e-07 	 -0.106 	 0
6.33333e-07 	 -0.105 	 0
6.4e-07 	 -0.104 	 0
6.46667e-07 	 -0.103 	 0
6.53333e-07 	 -0.102 	 0
6.6e-07 	 -0.101 	 0
6.66667e-07 	 -0.1 	 0
6.73333e-07 	 -0.099 	 0
6.8e-07 	 -0.098 	 0
6.86667e-07 	 -0.097 	 0
6.93333e-07 	 -0.096 	 0
7e-07 	 -0.095 	 0
7.06667e-07 	 -0.094 	 0
7.13333e-07 	 -0.093 	 0
7.2e-07 	 -0.092 	 0
7.26667e-07 	 -0.091 	 0
7.33333e-07 	 -0.09 	 0
7.4e-07 	 -0.089 	 0
7.46667e-07 	 -0.088 	 0
7.53333e-07 	 -0.087 	 0
7.6e-07 	 -0.086 	 0
7.66667e-07 	 -0.085 	 0
7.73333e-07 	 -0.084 	 0
7.8e-07 	 -0.083 	 0
7.86667e-07 	 -0.082 	 0
7.93333e-07 	 -0.081 	 0
8e-07 	 -0.08 	 0
8.06667e-07 	 -0.079 	 0
8.13333e-07 	 -0.078 	 0
8.2e-07 	 -0.077 	 0
8.26667e-07 	 -0.076 	 0
8.33333e-07 	 -0.075 	 0
8.4e-07 	 -0.074 	 0
8.46667e-07 	 -0.073 	 0
8.53333e-07 	 -0.072 	 0
8.6e-07 	 -0.071 	 0
8.66667e-07 	 -0.07 	 0
8.73333e-07 	 -0.069 	 0
8.8e-07 	 -0.068 	 0
8.86667e-07 	 -0.067 	 0
8.93333e-07 	 -0.066 	 0
9e-07 	 -0.065 	 0
9.06667e-07 	 -0.064 	 0
9.13333e-07 	 -0.063 	 0
9.2e-07 	 -0.062 	 0
9.26667e-07 	 -0.061 	 0
9.33333e-07 	 -0.06 	 0
9.4e-07 	 -0.059 	 0
9.46667e-07 	 -0.058 	 0
9.53333e-07 	 -0.057 	 0
9.6e-07 	 -0.056 	 0
9.66667e-07 	 -0.055 	 0
9.73333e-07 	 -0.054 	 0
9.8e-07 	 -0.053 	 0
9.86667e-07 	 -0.052 	 0
9.93333e-07 	 -0.051 	 0
1e-06 	 -0.05 	 0
1.00667e-06 	 -0.049 	 0
1.01333e-06 	 -0.048 	 0
1.02e-06 	 -0.047 	 0
1.02667e-06 	 -0.046 	 0
1.03333e-06 	 -0.045 	 0
1.04e-06 	 -0.044 	 0
1.04667e-06 	 -0.043 	 0
1.05333e-06 	 -0.042 	 0
1.06e-06 	 -0.041 	 0
1.06667e-06 	 -0.04 	 0
1.07333e-06 	 -0.039 	 0
1.08e-06 	 -0.038 	 0
1.08667e-06 	 -0.037 	 0
1.09333e-06 	 -0.036 	 0
1.1e-06 	 -0.035 	 0
1.10667e-06 	 -0.034 	 0
1.11333e-06 	 -0.033 	 0
1.12e-06 	 -0.032 	 0
1.12667e-06 	 -0.031 	 0
1.13333e-06 	 -0.03 	 0
1.14e-06 	 -0.029 	 0
1.14667e-06 	 -0.028 	 0
1.15333e-06 	 -0.027 	 0
1.16e-06 	 -0.026 	 0
1.16667e-06 	 -0.025 	 0
1.17333e-06 	 -0.024 	 0
1.18e-06 	 -0.023 	 0
1.18667e-06 	 -0.022 	 0
1.19333e-06 	 -0.021 	 0
1.2e-06 	 -0.02 	 0
1.20667e-06 	 -0.019 	 0
1.21333e-06 	 -0.018 	 0
1.22e-06 	 -0.017 	 0
1.22667e-06 	 -0.016 	 0
1.23333e-06 	 -0.015 	 0
1.24e-06 	 -0.014 	 0
1.24667e-06 	 -0.013 	 0
1.25333e-06 	 -0.012 	 0
1.26e-06 	 -0.011 	 0
1.26667e-06 	 -0.01 	 0
1.27333e-06 	 -0.009 	 0
1.28e-06 	 -0.008 	 0
1.28667e-06 	 -0.007 	 0
1.29333e-06 	 -0.006 	 0
1.3e-06 	 -0.005 	 0
1.30667e-06 	 -0.004 	 0
1.31333e-06 	 -0.003 	 0.00777583
1.32e-06 	 -0.002 	 0.0232722
1.32667e-06 	 -0.001 	 0.0385761
1.33333e-06 	 0 	 0.0536812
1.34e-06 	 0.001 	 0.0608825
1.34667e-06 	 0.002 	 0.0603963
1.35333e-06 	 0.003 	 0.0598592
1.36e-06 	 0.004 	 0.0591157
1.36667e-06 	 0.005 	 0.0585151
1.37333e-06 	 0.006 	 0.0578458
1.38e-06 	 0.007 	 0.0567621
1.38667e-06 	 0.008 	 0.0558886
1.39333e-06 	 0.009 	 0.0547356
1.4e-06 	 0.01 	 0.0532525
1.40667e-06 	 0.011 	 0.0518506
1.41333e-06 	 0.012 	 0.050132
1.42e-06 	 0.013 	 0.0485418
1.42667e-06 	 0.014 	 0.0467628
1.43333e-06 	 0.015 	 0.0452016
1.44e-06 	 0.016 	 0.0439424
1.44667e-06 	 0.017 	 0.042183
1.45333e-06 	 0.018 	 0.0406749
1.46e-06 	 0.019 	 0.0390124
1.46667e-06 	 0.02 	 0.0368624
1.47333e-06 	 0.021 	 0.0356928
1.48e-06 	 0.022 	 0.0346432
1.48667e-06 	 0.023 	 0.0332048
1.49333e-06 	 0.024 	 0.032234
1.5e-06 	 0.025 	 0.0304597
1.50667e-06 	 0.026 	 0.0290292
1.51333e-06 	 0.027 	 0.0283295
1.52e-06 	 0.028 	 0.0273465
1.52667e-06 	 0.029 	 0.0260524
1.53333e-06 	 0.03 	 0.0249748
1.54e-06 	 0.031 	 0.0240752
1.54667e-06 	 0.032 	 0.0227005
1.55333e-06 	 0.033 	 0.0225715
1.56e-06 	 0.034 	 0.0214995
1.56667e-06 	 0.035 	 0.0201925
1.57333e-06 	 0.036 	 0.0198076
1.58e-06 	 0.037 	 0.0185385
1.58667e-06 	 0.038 	 0.0185408
1.59333e-06 	 0.039 	 0.018336
1.6e-06 	 0.04 	 0.0170511
1.60667e-06 	 0.041 	 0.0166196
1.61333e-06 	 0.042 	 0.0153734
1.62e-06 	 0.043 	 0.0148043
1.62667e-06 	 0.044 	 0.0149001
1.63333e-06 	 0.045 	 0.0138664
1.64e-06 	 0.046 	 0.0126337
1.64667e-06 	 0.047 	 0.0170286
1.65333e-06 	 0.048 	 0.0258196
1.66e-06 	 0.049 	 0.0341114
1.66667e-06 	 0.05 	 0.0434712
1.67333e-06 	 0.051 	 0.0459077
1.68e-06 	 0.052 	 0.0440714
1.68667e-06 	 0.053 	 0.0429989
1.69333e-06 	 0.054 	 0.0403575
1.7e-06 	 0.055 	 0.039397
1.70667e-06 	 0.056 	 0.0380674
1.71333e-06 	 0.057 	 0.0359698
1.72e-06 	 0.058 	 0.0344005
1.72667e-06 	 0.059 	 0.031985
1.73333e-06 	 0.06 	 0.0300147
1.74e-06 	 0.061 	 0.0280744
1.74667e-06 	 0.062 	 0.0264134
1.75333e-06 	 0.063 	 0.0241358
1.76e-06 	 0.064 	 0.0223124
1.76667e-06 	 0.065 	 0.0210515
1.77333e-06 	 0.066 	 0.0190655
1.78e-06 	 0.067 	 0.0180844
1.78667e-06 	 0.068 	 0.0162943
1.79333e-06 	 0.069 	 0.0142015
1.8e-06 	 0.07 	 0.0126782
1.80667e-06 	 0.071 	 0.0118115
1.81333e-06 	 0.072 	 0.0100724
1.82e-06 	 0.073 	 0.00891312
1.82667e-06 	 0.074 	 0.00869827
1.83333e-06 	 0.075 	 0.00699971
1.84e-06 	 0.076 	 0.00613018
1.84667e-06 	 0.077 	 0.00556608
1.85333e-06 	 0.078 	 0.00405849
1.86e-06 	 0.079 	 0.00319075
1.86667e-06 	 0.08 	 0.0022145
1.87333e-06 	 0.081 	 0.00144801
1.88e-06 	 0.082 	 0.00107407
1.88667e-06 	 0.083 	 -0.000429833
1.89333e-06 	 0.084 	 -0.000825417
1.9e-06 	 0.085 	 -0.00104012
1.90667e-06 	 0.086 	 -0.00188209
1.91333e-06 	 0.087 	 -0.00235943
1.92e-06 	 0.088 	 -0.0031647
1.92667e-06 	 0.089 	 -0.00396914
1.93333e-06 	 0.09 	 -0.00471627
1.94e-06 	 0.091 	 -0.00510738
1.94667e-06 	 0.092 	 -0.00508478
1.95333e-06 	 0.093 	 -0.00510989
1.96e-06 	 0.094 	 -0.00673276
1.96667e-06 	 0.095 	 -0.0075546
1.97333e-06 	 0.096 	 -0.00716889
1.98e-06 	 0.097 	 -0.0118086
1.98667e-06 	 0.098 	 -0.0188376
1.99333e-06 	 0.099 	 -0.0249217
2e-06 	 0.1 	 -0.032734
2.00667e-06 	 0.101 	 -0.0366019
2.01333e-06 	 0.102 	 -0.0353887
2.02e-06 	 0.103 	 -0.0359977
2.02667e-06 	 0.104 	 -0.0352068
2.03333e-06 	 0.105 	 -0.0338467
2.04e-06 	 0.106 	 -0.0346011
2.04667e-06 	 0.107 	 -0.0335603
2.05333e-06 	 0.108 	 -0.0335062
2.06e-06 	 0.109 	 -0.0335601
2.06667e-06 	 0.11 	 -0.0313606
2.07333e-06 	 0.111 	 -0.0305275
2.08e-06 	 0.112 	 -0.0300843
2.08667e-06 	 0.113 	 -0.0288876
2.09333e-06 	 0.114 	 -0.0287136
2.1e-06 	 0.115 	 -0.0284305
2.10667e-06 	 0.116 	 -0.0278684
2.11333e-06 	 0.117 	 -0.0271769
2.12e-06 	 0.118 	 -0.0266056
2.12667e-06 	 0.119 	 -0.0265549
2.13333e-06 	 0.12 	 -0.0261312
2.14e-06 	 0.121 	 -0.0262464
2.14667e-06 	 0.122 	 -0.0255255
2.15333e-06 	 0.123 	 -0.0248551
2.16e-06 	 0.124 	 -0.0253197
2.16667e-06 	 0.125 	 -0.025227
2.17333e-06 	 0.126 	 -0.0255076
2.18e-06 	 0.127 	 -0.0255543
2.18667e-06 	 0.128 	 -0.0252751
2.19333e-06 	 0.129 	 -0.0252371
2.2e-06 	 0.13 	 -0.0255759
2.20667e-06 	 0.131 	 -0.0253316
2.21333e-06 	 0.132 	 -0.0252729
2.22e-06 	 0.133 	 -0.0253957
2.22667e-06 	 0.134 	 -0.0250544
2.23333e-06 	 0.135 	 -0.0252225
2.24e-06 	 0.136 	 -0.0253906
2.24667e-06 	 0.137 	 -0.0256983
2.25333e-06 	 0.138 	 -0.0258242
2.26e-06 	 0.139 	 -0.0257104
2.26667e-06 	 0.14 	 -0.0255988
2.27333e-06 	 0.141 	 -0.0253533
2.28e-06 	 0.142 	 -0.0253319
2.28667e-06 	 0.143 	 -0.0256471
2.29333e-06 	 0.144 	 -0.0256185
2.3e-06 	 0.145 	 -0.0251746
2.30667e-06 	 0.146 	 -0.025233
2.31333e-06 	 0.147 	 -0.025744
2.32e-06 	 0.148 	 -0.025102
2.32667e-06 	 0.149 	 -0.0249903
2.33333e-06 	 0.15 	 -0.0251393
2.34e-06 	 0.151 	 -0.0245118
2.34667e-06 	 0.152 	 -0.024735
2.35333e-06 	 0.153 	 -0.0247491
2.36e-06 	 0.154 	 -0.0246352
2.36667e-06 	 0.155 	 -0.0243341
2.37333e-06 	 0.156 	 -0.0239537
2.38e-06 	 0.157 	 -0.0241222
2.38667e-06 	 0.158 	 -0.0240354
2.39333e-06 	 0.159 	 -0.0243298
2.4e-06 	 0.16 	 -0.0248003
2.40667e-06 	 0.161 	 -0.0250996
2.41333e-06 	 0.162 	 -0.024891
2.42e-06 	 0.163 	 -0.0240922
2.42667e-06 	 0.164 	 -0.0237699
2.43333e-06 	 0.165 	 -0.0232898
2.44e-06 	 0.166 	 -0.0228823
2.44667e-06 	 0.167 	 -0.0226248
2.45333e-06 	 0.168 	 -0.0220852
2.46e-06 	 0.169 	 -0.0218018
2.46667e-06 	 0.17 	 -0.0212725
2.47333e-06 	 0.171 	 -0.0209694
2.48e-06 	 0.172 	 -0.0206336
2.48667e-06 	 0.173 	 -0.0199382
2.49333e-06 	 0.174 	 -0.0196881
2.5e-06 	 0.175 	 -0.0192317
2.50667e-06 	 0.176 	 -0.0187995
2.51333e-06 	 0.177 	 -0.0183233
2.52e-06 	 0.178 	 -0.0179133
2.52667e-06 	 0.179 	 -0.0175191
2.53333e-06 	 0.18 	 -0.016946
2.54e-06 	 0.181 	 -0.0165437
2.54667e-06 	 0.182 	 -0.0160652
2.55333e-06 	 0.183 	 -0.0156325
2.56e-06 	 0.184 	 -0.0152892
2.56667e-06 	 0.185 	 -0.01484
2.57333e-06 	 0.186 	 -0.0142878
2.58e-06 	 0.187 	 -0.013715
2.58667e-06 	 0.188 	 -0.013435
2.59333e-06 	 0.189 	 -0.0131746
2.6e-06 	 0.19 	 -0.01293
2.60667e-06 	 0.191 	 -0.0126853
2.61333e-06 	 0.192 	 -0.0120422
2.62e-06 	 0.193 	 -0.0114491
2.62667e-06 	 0.194 	 -0.0107805
2.63333e-06 	 0.195 	 -0.0102842
2.64e-06 	 0.196 	 -0.00969409
2.64667e-06 	 0.197 	 -0.00903528
2.65333e-06 	 0.198 	 -0.00852909
2.66e-06 	 0.199 	 -0.00795471
2.66667e-06 	 0.2 	 -0.00750032
2.67333e-06 	 0.201 	 -0.00698328
2.68e-06 	 0.202 	 -0.00652607
2.68667e-06 	 0.203 	 -0.0060602
2.69333e-06 	 0.204 	 -0.00557904
2.7e-06 	 0.205 	 -0.00518487
2.70667e-06 	 0.206 	 -0.00480227
2.71333e-06 	 0.207 	 -0.00442457
2.72e-06 	 0.208 	 -0.00403928
2.72667e-06 	 0.209 	 -0.00370057
2.73333e-06 	 0.21 	 -0.00338194
2.74e-06 	 0.211 	 -0.00307742
2.74667e-06 	 0.212 	 -0.00279564
2.75333e-06 	 0.213 	 -0.0025521
2.76e-06 	 0.214 	 -0.00230136
2.76667e-06 	 0.215 	 -0.00205533
2.77333e-06 	 0.216 	 -0.00185696
2.78e-06 	 0.217 	 -0.0016578
2.78667e-06 	 0.218 	 -0.00147876
2.79333e-06 	 0.219 	 -0.00130494
2.8e-06 	 0.22 	 -0.00116064
2.80667e-06 	 0.221 	 -0.000962506
2.81333e-06 	 0.222 	 -0.00068503
2.82e-06 	 0.223 	 -0.000428817
2.82667e-06 	 0.224 	 -0.000191002
2.83333e-06 	 0.225 	 -3.79142e-05
2.84e-06 	 0.226 	 0
2.84667e-06 	 0.227 	 0
2.85333e-06 	 0.228 	 0
2.86e-06 	 0.229 	 0
2.86667e-06 	 0.23 	 0
2.87333e-06 	 0.231 	 0
2.88e-06 	 0.232 	 0
2.88667e-06 	 0.233 	 0
2.89333e-06 	 0.234 	 0
2.9e-06 	 0.235 	 0
2.90667e-06 	 0.236 	 0
2.91333e-06 	 0.237 	 0
2.92e-06 	 0.238 	 0
2.92667e-06 	 0.239 	 0
2.93333e-06 	 0.24 	 0
2.94e-06 	 0.241 	 0
2.94667e-06 	 0.242 	 0
2.95333e-06 	 0.243 	 0
2.96e-06 	 0.244 	 0
2.96667e-06 	 0.245 	 0
2.97333e-06 	 0.246 	 0
2.98e-06 	 0.247 	 0
2.98667e-06 	 0.248 	 0
2.99333e-06 	 0.249 	 0
