# (t) 	 (c tau) 	 (p(rD,t))
0 	 -1 	 0
6.66667e-09 	 -0.999 	 0
1.33333e-08 	 -0.998 	 0
2e-08 	 -0.997 	 0
2.66667e-08 	 -0.996 	 0
3.33333e-08 	 -0.995 	 0
4e-08 	 -0.994 	 0
4.66667e-08 	 -0.993 	 0
5.33333e-08 	 -0.992 	 0
6e-08 	 -0.991 	 0
6.66667e-08 	 -0.99 	 0
7.33333e-08 	 -0.989 	 0
8e-08 	 -0.988 	 0
8.66667e-08 	 -0.987 	 0
9.33333e-08 	 -0.986 	 0
1e-07 	 -0.985 	 0
1.06667e-07 	 -0.984 	 0
1.13333e-07 	 -0.983 	 0
1.2e-07 	 -0.982 	 0
1.26667e-07 	 -0.981 	 0
1.33333e-07 	 -0.98 	 0
1.4e-07 	 -0.979 	 0
1.46667e-07 	 -0.978 	 0
1.53333e-07 	 -0.977 	 0
1.6e-07 	 -0.976 	 0
1.66667e-07 	 -0.975 	 0
1.73333e-07 	 -0.974 	 0
1.8e-07 	 -0.973 	 0
1.86667e-07 	 -0.972 	 0
1.93333e-07 	 -0.971 	 0
2e-07 	 -0.97 	 0
2.06667e-07 	 -0.969 	 0
2.13333e-07 	 -0.968 	 0
2.2e-07 	 -0.967 	 0
2.26667e-07 	 -0.966 	 0
2.33333e-07 	 -0.965 	 0
2.4e-07 	 -0.964 	 0
2.46667e-07 	 -0.963 	 0
2.53333e-07 	 -0.962 	 0
2.6e-07 	 -0.961 	 0
2.66667e-07 	 -0.96 	 0
2.73333e-07 	 -0.959 	 0
2.8e-07 	 -0.958 	 0
2.86667e-07 	 -0.957 	 0
2.93333e-07 	 -0.956 	 0
3e-07 	 -0.955 	 0
3.06667e-07 	 -0.954 	 0
3.13333e-07 	 -0.953 	 0
3.2e-07 	 -0.952 	 0
3.26667e-07 	 -0.951 	 0
3.33333e-07 	 -0.95 	 0
3.4e-07 	 -0.949 	 0
3.46667e-07 	 -0.948 	 0
3.53333e-07 	 -0.947 	 0
3.6e-07 	 -0.946 	 0
3.66667e-07 	 -0.945 	 0
3.73333e-07 	 -0.944 	 0
3.8e-07 	 -0.943 	 0
3.86667e-07 	 -0.942 	 0
3.93333e-07 	 -0.941 	 0
4e-07 	 -0.94 	 0
4.06667e-07 	 -0.939 	 0
4.13333e-07 	 -0.938 	 0
4.2e-07 	 -0.937 	 0
4.26667e-07 	 -0.936 	 0
4.33333e-07 	 -0.935 	 0
4.4e-07 	 -0.934 	 0
4.46667e-07 	 -0.933 	 0
4.53333e-07 	 -0.932 	 0
4.6e-07 	 -0.931 	 0
