# (t) 	 (c tau) 	 (p0) 	 (pzD) 	 (p0FF)
0 	 -1.8 	 0 	 0 	 0
6.66667e-09 	 -1.799 	 0 	 0 	 0
1.33333e-08 	 -1.798 	 0 	 0 	 0
2e-08 	 -1.797 	 0 	 0 	 0
2.66667e-08 	 -1.796 	 0 	 0 	 0
3.33333e-08 	 -1.795 	 0 	 0 	 0
4e-08 	 -1.794 	 0 	 0 	 0
4.66667e-08 	 -1.793 	 0 	 0 	 0
5.33333e-08 	 -1.792 	 0 	 0 	 0
6e-08 	 -1.791 	 0 	 0 	 0
6.66667e-08 	 -1.79 	 0 	 0 	 0
7.33333e-08 	 -1.789 	 0 	 0 	 0
8e-08 	 -1.788 	 0 	 0 	 0
8.66667e-08 	 -1.787 	 0 	 0 	 0
9.33333e-08 	 -1.786 	 0 	 0 	 0
1e-07 	 -1.785 	 0 	 0 	 0
1.06667e-07 	 -1.784 	 0 	 0 	 0
1.13333e-07 	 -1.783 	 0 	 0 	 0
1.2e-07 	 -1.782 	 0 	 0 	 0
1.26667e-07 	 -1.781 	 0 	 0 	 0
1.33333e-07 	 -1.78 	 0 	 0 	 0
1.4e-07 	 -1.779 	 0 	 0 	 0
1.46667e-07 	 -1.778 	 0 	 0 	 0
1.53333e-07 	 -1.777 	 0 	 0 	 0
1.6e-07 	 -1.776 	 0 	 0 	 0
1.66667e-07 	 -1.775 	 0 	 0 	 0
1.73333e-07 	 -1.774 	 0 	 0 	 0
1.8e-07 	 -1.773 	 0 	 0 	 0
1.86667e-07 	 -1.772 	 0 	 0 	 0
1.93333e-07 	 -1.771 	 0 	 0 	 0
2e-07 	 -1.77 	 0 	 0 	 0
2.06667e-07 	 -1.769 	 0 	 0 	 0
2.13333e-07 	 -1.768 	 0 	 0 	 0
2.2e-07 	 -1.767 	 0 	 0 	 0
2.26667e-07 	 -1.766 	 0 	 0 	 0
2.33333e-07 	 -1.765 	 0 	 0 	 0
2.4e-07 	 -1.764 	 0 	 0 	 0
2.46667e-07 	 -1.763 	 0 	 0 	 0
2.53333e-07 	 -1.762 	 0 	 0 	 0
2.6e-07 	 -1.761 	 0 	 0 	 0
2.66667e-07 	 -1.76 	 0 	 0 	 0
2.73333e-07 	 -1.759 	 0 	 0 	 0
2.8e-07 	 -1.758 	 0 	 0 	 0
2.86667e-07 	 -1.757 	 0 	 0 	 0
2.93333e-07 	 -1.756 	 0 	 0 	 0
3e-07 	 -1.755 	 0 	 0 	 0
3.06667e-07 	 -1.754 	 0 	 0 	 0
3.13333e-07 	 -1.753 	 0 	 0 	 0
3.2e-07 	 -1.752 	 0 	 0 	 0
3.26667e-07 	 -1.751 	 0 	 0 	 0
3.33333e-07 	 -1.75 	 0 	 0 	 0
3.4e-07 	 -1.749 	 0 	 0 	 0
3.46667e-07 	 -1.748 	 0 	 0 	 0
3.53333e-07 	 -1.747 	 0 	 0 	 0
3.6e-07 	 -1.746 	 0 	 0 	 0
3.66667e-07 	 -1.745 	 0 	 0 	 0
3.73333e-07 	 -1.744 	 0 	 0 	 0
3.8e-07 	 -1.743 	 0 	 0 	 0
3.86667e-07 	 -1.742 	 0 	 0 	 0
3.93333e-07 	 -1.741 	 0 	 0 	 0
4e-07 	 -1.74 	 0 	 0 	 0
4.06667e-07 	 -1.739 	 0 	 0 	 0
4.13333e-07 	 -1.738 	 0 	 0 	 0
4.2e-07 	 -1.737 	 0 	 0 	 0
4.26667e-07 	 -1.736 	 0 	 0 	 0
4.33333e-07 	 -1.735 	 0 	 0 	 0
4.4e-07 	 -1.734 	 0 	 0 	 0
4.46667e-07 	 -1.733 	 0 	 0 	 0
4.53333e-07 	 -1.732 	 0 	 0 	 0
4.6e-07 	 -1.731 	 0 	 0 	 0
4.66667e-07 	 -1.73 	 0 	 0 	 0
4.73333e-07 	 -1.729 	 0 	 0 	 0
4.8e-07 	 -1.728 	 0 	 0 	 0
4.86667e-07 	 -1.727 	 0 	 0 	 0
4.93333e-07 	 -1.726 	 0 	 0 	 0
5e-07 	 -1.725 	 0 	 0 	 0
5.06667e-07 	 -1.724 	 0 	 0 	 0
5.13333e-07 	 -1.723 	 0 	 0 	 0
5.2e-07 	 -1.722 	 0 	 0 	 0
5.26667e-07 	 -1.721 	 0 	 0 	 0
5.33333e-07 	 -1.72 	 0 	 0 	 0
5.4e-07 	 -1.719 	 0 	 0 	 0
5.46667e-07 	 -1.718 	 0 	 0 	 0
5.53333e-07 	 -1.717 	 0 	 0 	 0
5.6e-07 	 -1.716 	 0 	 0 	 0
5.66667e-07 	 -1.715 	 0 	 0 	 0
5.73333e-07 	 -1.714 	 0 	 0 	 0
5.8e-07 	 -1.713 	 0 	 0 	 0
5.86667e-07 	 -1.712 	 0 	 0 	 0
5.93333e-07 	 -1.711 	 0 	 0 	 0
6e-07 	 -1.71 	 0 	 0 	 0
6.06667e-07 	 -1.709 	 0 	 0 	 0
6.13333e-07 	 -1.708 	 0 	 0 	 0
6.2e-07 	 -1.707 	 0 	 0 	 0
6.26667e-07 	 -1.706 	 0 	 0 	 0
6.33333e-07 	 -1.705 	 0 	 0 	 0
6.4e-07 	 -1.704 	 0 	 0 	 0
6.46667e-07 	 -1.703 	 0 	 0 	 0
6.53333e-07 	 -1.702 	 0 	 0 	 0
6.6e-07 	 -1.701 	 0 	 0 	 0
6.66667e-07 	 -1.7 	 0 	 0 	 0
6.73333e-07 	 -1.699 	 0 	 0 	 0
6.8e-07 	 -1.698 	 0 	 0 	 0
6.86667e-07 	 -1.697 	 0 	 0 	 0
6.93333e-07 	 -1.696 	 0 	 0 	 0
7e-07 	 -1.695 	 0 	 0 	 0
7.06667e-07 	 -1.694 	 0 	 0 	 0
7.13333e-07 	 -1.693 	 0 	 0 	 0
7.2e-07 	 -1.692 	 0 	 0 	 0
7.26667e-07 	 -1.691 	 0 	 0 	 0
7.33333e-07 	 -1.69 	 0 	 0 	 0
7.4e-07 	 -1.689 	 0 	 0 	 0
7.46667e-07 	 -1.688 	 0 	 0 	 0
7.53333e-07 	 -1.687 	 0 	 0 	 0
7.6e-07 	 -1.686 	 0 	 0 	 0
7.66667e-07 	 -1.685 	 0 	 0 	 0
7.73333e-07 	 -1.684 	 0 	 0 	 0
7.8e-07 	 -1.683 	 0 	 0 	 0
7.86667e-07 	 -1.682 	 0 	 0 	 0
7.93333e-07 	 -1.681 	 0 	 0 	 0
8e-07 	 -1.68 	 0 	 0 	 0
8.06667e-07 	 -1.679 	 0 	 0 	 0
8.13333e-07 	 -1.678 	 0 	 0 	 0
8.2e-07 	 -1.677 	 0 	 0 	 0
8.26667e-07 	 -1.676 	 0 	 0 	 0
8.33333e-07 	 -1.675 	 0 	 0 	 0
8.4e-07 	 -1.674 	 0 	 0 	 0
8.46667e-07 	 -1.673 	 0 	 0 	 0
8.53333e-07 	 -1.672 	 0 	 0 	 0
8.6e-07 	 -1.671 	 0 	 0 	 0
8.66667e-07 	 -1.67 	 0 	 0 	 0
8.73333e-07 	 -1.669 	 0 	 0 	 0
8.8e-07 	 -1.668 	 0 	 0 	 0
8.86667e-07 	 -1.667 	 0 	 0 	 0
8.93333e-07 	 -1.666 	 0 	 0 	 0
9e-07 	 -1.665 	 0 	 0 	 0
9.06667e-07 	 -1.664 	 0 	 0 	 0
9.13333e-07 	 -1.663 	 0 	 0 	 0
9.2e-07 	 -1.662 	 0 	 0 	 0
9.26667e-07 	 -1.661 	 0 	 0 	 0
9.33333e-07 	 -1.66 	 0 	 0 	 0
9.4e-07 	 -1.659 	 0 	 0 	 0
9.46667e-07 	 -1.658 	 0 	 0 	 0
9.53333e-07 	 -1.657 	 0 	 0 	 0
9.6e-07 	 -1.656 	 0 	 0 	 0
9.66667e-07 	 -1.655 	 0 	 0 	 0
9.73333e-07 	 -1.654 	 0 	 0 	 0
9.8e-07 	 -1.653 	 0 	 0 	 0
9.86667e-07 	 -1.652 	 0 	 0 	 0
9.93333e-07 	 -1.651 	 0 	 0 	 0
1e-06 	 -1.65 	 0 	 0 	 0
1.00667e-06 	 -1.649 	 0 	 0 	 0
1.01333e-06 	 -1.648 	 0 	 0 	 0
1.02e-06 	 -1.647 	 0 	 0 	 0
1.02667e-06 	 -1.646 	 0 	 0 	 0
1.03333e-06 	 -1.645 	 0 	 0 	 0
1.04e-06 	 -1.644 	 0 	 0 	 0
1.04667e-06 	 -1.643 	 0 	 0 	 0
1.05333e-06 	 -1.642 	 0 	 0 	 0
1.06e-06 	 -1.641 	 0 	 0 	 0
1.06667e-06 	 -1.64 	 0 	 0 	 0
1.07333e-06 	 -1.639 	 0 	 0 	 0
1.08e-06 	 -1.638 	 0 	 0 	 0
1.08667e-06 	 -1.637 	 0 	 0 	 0
1.09333e-06 	 -1.636 	 0 	 0 	 0
1.1e-06 	 -1.635 	 0 	 0 	 0
1.10667e-06 	 -1.634 	 0 	 0 	 0
1.11333e-06 	 -1.633 	 0 	 0 	 0
1.12e-06 	 -1.632 	 0 	 0 	 0
1.12667e-06 	 -1.631 	 0 	 0 	 0
1.13333e-06 	 -1.63 	 0 	 0 	 0
1.14e-06 	 -1.629 	 0 	 0 	 0
1.14667e-06 	 -1.628 	 0 	 0 	 0
1.15333e-06 	 -1.627 	 0 	 0 	 0
1.16e-06 	 -1.626 	 0 	 0 	 0
1.16667e-06 	 -1.625 	 0 	 0 	 0
1.17333e-06 	 -1.624 	 0 	 0 	 0
1.18e-06 	 -1.623 	 0 	 0 	 0
1.18667e-06 	 -1.622 	 0 	 0 	 0
1.19333e-06 	 -1.621 	 0 	 0 	 0
1.2e-06 	 -1.62 	 0 	 0 	 0
1.20667e-06 	 -1.619 	 0 	 0 	 0
1.21333e-06 	 -1.618 	 0 	 0 	 0
1.22e-06 	 -1.617 	 0 	 0 	 0
1.22667e-06 	 -1.616 	 0 	 0 	 0
1.23333e-06 	 -1.615 	 0 	 0 	 0
1.24e-06 	 -1.614 	 0 	 0 	 0
1.24667e-06 	 -1.613 	 0 	 0 	 0
1.25333e-06 	 -1.612 	 0 	 0 	 0
1.26e-06 	 -1.611 	 0 	 0 	 0
1.26667e-06 	 -1.61 	 0 	 0 	 0
1.27333e-06 	 -1.609 	 0 	 0 	 0
1.28e-06 	 -1.608 	 0 	 0 	 0
1.28667e-06 	 -1.607 	 0 	 0 	 0
1.29333e-06 	 -1.606 	 0 	 0 	 0
1.3e-06 	 -1.605 	 0 	 0 	 0
1.30667e-06 	 -1.604 	 0 	 0 	 0
1.31333e-06 	 -1.603 	 0 	 0 	 0
1.32e-06 	 -1.602 	 0 	 0 	 0
1.32667e-06 	 -1.601 	 0 	 0 	 0
1.33333e-06 	 -1.6 	 0 	 0 	 0
1.34e-06 	 -1.599 	 0 	 0 	 0
1.34667e-06 	 -1.598 	 0 	 0 	 0
1.35333e-06 	 -1.597 	 0 	 0 	 0
1.36e-06 	 -1.596 	 0 	 0 	 0
1.36667e-06 	 -1.595 	 0 	 0 	 0
1.37333e-06 	 -1.594 	 0 	 0 	 0
1.38e-06 	 -1.593 	 0 	 0 	 0
1.38667e-06 	 -1.592 	 0 	 0 	 0
1.39333e-06 	 -1.591 	 0 	 0 	 0
1.4e-06 	 -1.59 	 0 	 0 	 0
1.40667e-06 	 -1.589 	 0 	 0 	 0
1.41333e-06 	 -1.588 	 0 	 0 	 0
1.42e-06 	 -1.587 	 0 	 0 	 0
1.42667e-06 	 -1.586 	 0 	 0 	 0
1.43333e-06 	 -1.585 	 0 	 0 	 0
1.44e-06 	 -1.584 	 0 	 0 	 0
1.44667e-06 	 -1.583 	 0 	 0 	 0
1.45333e-06 	 -1.582 	 0 	 0 	 0
1.46e-06 	 -1.581 	 0 	 0 	 0
